,Start,Goal,h_func,Weight,Lenght,Steps
0,"(88, 123)","(228, 132)",euclidean,1.1,169.7106781186548,1789
1,"(222, 244)","(149, 112)",euclidean,1.1,162.23759005323598,136
2,"(41, 193)","(179, 118)",euclidean,1.1,193.75230867899765,4360
3,"(244, 131)","(148, 126)",euclidean,1.1,104.69848480983495,463
4,"(85, 187)","(141, 203)",euclidean,1.1,86.4680374315354,767
5,"(155, 121)","(214, 58)",euclidean,1.1,120.95331880577395,1818
6,"(141, 55)","(138, 227)",euclidean,1.1,174.8994949366117,176
7,"(90, 25)","(195, 24)",euclidean,1.1,122.32590180780444,590
8,"(130, 62)","(243, 144)",euclidean,1.1,171.12489168102792,1976
9,"(172, 102)","(163, 49)",euclidean,1.1,56.72792206135783,54
10,"(41, 167)","(172, 93)",euclidean,1.1,203.85281374238585,10173
11,"(133, 5)","(79, 104)",euclidean,1.1,126.6396103067892,794
12,"(151, 109)","(73, 64)",euclidean,1.1,124.74011537017753,4024
13,"(9, 41)","(9, 131)",euclidean,1.1,91.65685424949237,91
14,"(197, 236)","(12, 218)",euclidean,1.1,263.534054609518,10598
15,"(51, 172)","(211, 18)",euclidean,1.1,255.42135623730985,5056
16,"(26, 239)","(3, 72)",euclidean,1.1,176.52691193458125,443
17,"(52, 31)","(171, 247)",euclidean,1.1,265.87720036002605,1382
18,"(69, 86)","(10, 216)",euclidean,1.1,160.88225099390866,2225
19,"(70, 61)","(123, 132)",euclidean,1.1,101.63961030678917,356
20,"(228, 96)","(180, 141)",euclidean,1.1,71.91168824543138,311
21,"(66, 166)","(47, 45)",euclidean,1.1,150.04163056034272,3629
22,"(44, 147)","(107, 7)",euclidean,1.1,171.95331880577427,2167
23,"(9, 173)","(164, 246)",euclidean,1.1,262.5340546095182,8571
24,"(238, 116)","(250, 60)",euclidean,1.1,60.970562748477114,58
25,"(166, 41)","(245, 96)",euclidean,1.1,115.15432893255063,1546
26,"(250, 68)","(2, 224)",euclidean,1.1,333.4457428549497,11102
27,"(113, 132)","(31, 16)",euclidean,1.1,171.9238815542513,4088
28,"(52, 37)","(225, 229)",euclidean,1.1,296.1198410471452,4231
29,"(191, 12)","(133, 52)",euclidean,1.1,75.74011537017756,251
30,"(195, 181)","(132, 192)",euclidean,1.1,75.8406204335659,408
31,"(117, 235)","(65, 153)",euclidean,1.1,133.11269837220806,2805
32,"(4, 202)","(59, 86)",euclidean,1.1,162.7401153701777,3303
33,"(103, 139)","(232, 61)",euclidean,1.1,195.3502884254443,4737
34,"(149, 228)","(236, 249)",euclidean,1.1,95.69848480983497,237
35,"(175, 64)","(4, 249)",euclidean,1.1,317.42135623731025,12075
36,"(223, 153)","(101, 161)",euclidean,1.1,141.88225099390849,1553
37,"(60, 104)","(222, 62)",euclidean,1.1,227.48023074035552,8886
38,"(25, 63)","(26, 222)",euclidean,1.1,161.07106781186553,168
39,"(168, 84)","(251, 89)",euclidean,1.1,94.76955262170044,708
40,"(55, 94)","(249, 94)",euclidean,1.1,228.79393923934038,4801
41,"(178, 76)","(230, 47)",euclidean,1.1,79.97056274847712,957
42,"(95, 66)","(158, 226)",euclidean,1.1,186.68124086713203,284
43,"(135, 168)","(253, 77)",euclidean,1.1,155.6934341759516,131
44,"(250, 37)","(184, 72)",euclidean,1.1,116.68124086713176,2921
45,"(148, 17)","(225, 230)",euclidean,1.1,248.99494936611697,2712
46,"(29, 166)","(98, 87)",euclidean,1.1,196.0660171779824,3656
47,"(37, 3)","(161, 10)",euclidean,1.1,126.89949493661165,125
48,"(172, 183)","(153, 0)",euclidean,1.1,195.01219330882,563
49,"(123, 147)","(66, 8)",euclidean,1.1,168.4680374315354,3396
50,"(191, 40)","(249, 92)",euclidean,1.1,90.95331880577396,213
51,"(206, 124)","(128, 155)",euclidean,1.1,94.98275605729683,1435
52,"(140, 17)","(88, 68)",euclidean,1.1,98.88225099390849,1516
53,"(221, 1)","(162, 167)",euclidean,1.1,192.1959594928935,546
54,"(115, 93)","(237, 140)",euclidean,1.1,145.12489168102778,1343
55,"(218, 235)","(121, 67)",euclidean,1.1,208.17871555019042,353
56,"(125, 191)","(45, 207)",euclidean,1.1,128.2670273047587,2869
57,"(110, 19)","(106, 109)",euclidean,1.1,93.31370849898475,96
58,"(82, 36)","(39, 110)",euclidean,1.1,109.91168824543138,1334
59,"(106, 26)","(179, 231)",euclidean,1.1,235.23759005323626,540
60,"(190, 190)","(67, 101)",euclidean,1.1,171.379725676967,3325
61,"(115, 239)","(236, 141)",euclidean,1.1,182.86500705120548,4622
62,"(92, 165)","(178, 137)",euclidean,1.1,97.5979797464466,189
63,"(174, 238)","(13, 14)",euclidean,1.1,317.4335495461297,13121
64,"(124, 141)","(166, 214)",euclidean,1.1,97.91168824543138,1677
65,"(61, 4)","(113, 235)",euclidean,1.1,254.19595949289376,3392
66,"(191, 73)","(185, 141)",euclidean,1.1,70.48528137423855,69
67,"(75, 125)","(111, 88)",euclidean,1.1,56.254833995939016,53
68,"(147, 152)","(191, 7)",euclidean,1.1,169.0832611206854,2062
69,"(7, 89)","(214, 4)",euclidean,1.1,277.3553390593274,1629
70,"(26, 19)","(170, 55)",euclidean,1.1,183.982756057297,5041
71,"(103, 68)","(56, 158)",euclidean,1.1,109.46803743153538,121
72,"(250, 200)","(189, 45)",euclidean,1.1,181.09545442950508,1477
