,Start,Goal,h_func,Weight,Lenght,Steps
0,"(59, 121)","(105, 197)",euclidean,2,127.94112549695424,1154
1,"(5, 33)","(111, 242)",euclidean,2,396.56349186104114,9774
2,"(21, 65)","(73, 105)",euclidean,2,171.53910524340097,3403
3,"(70, 67)","(223, 55)",euclidean,2,255.43354954612988,2101
4,"(26, 137)","(137, 6)",euclidean,2,235.0121933088198,875
5,"(242, 6)","(182, 112)",euclidean,2,142.95331880577396,155
6,"(143, 140)","(206, 221)",euclidean,2,107.0954544295049,82
7,"(32, 238)","(136, 214)",euclidean,2,1.0,6
8,"(83, 210)","(79, 8)",euclidean,2,225.8406204335662,264
9,"(54, 159)","(115, 208)",euclidean,2,108.42640687119281,1535
10,"(150, 94)","(128, 35)",euclidean,2,68.69848480983498,103
11,"(59, 147)","(227, 113)",euclidean,2,236.16652224137096,804
12,"(210, 36)","(212, 225)",euclidean,2,206.69848480983515,215
13,"(124, 139)","(64, 106)",euclidean,2,93.08326112068518,239
14,"(190, 71)","(99, 184)",euclidean,2,177.52186130069808,282
15,"(82, 7)","(26, 166)",euclidean,2,280.6223663640864,6423
16,"(70, 26)","(178, 30)",euclidean,2,128.811183182043,232
17,"(76, 106)","(241, 48)",euclidean,2,254.80613254816018,1786
18,"(229, 244)","(73, 128)",euclidean,2,247.22034611053311,732
19,"(231, 180)","(114, 96)",euclidean,2,175.9360748630711,868
20,"(202, 130)","(252, 185)",euclidean,2,75.7106781186547,56
21,"(36, 255)","(191, 9)",euclidean,2,327.2741699796961,384
22,"(73, 99)","(101, 181)",euclidean,2,103.15432893255065,225
23,"(76, 126)","(126, 32)",euclidean,2,131.7401153701776,1531
24,"(248, 39)","(229, 238)",euclidean,2,207.69848480983518,200
25,"(169, 220)","(232, 192)",euclidean,2,108.8822509939085,1076
26,"(234, 169)","(212, 65)",euclidean,2,113.11269837220804,105
27,"(216, 57)","(68, 235)",euclidean,2,278.4335495461297,2814
28,"(148, 31)","(155, 204)",euclidean,2,182.04163056034272,190
29,"(32, 109)","(133, 179)",euclidean,2,276.27922061357935,3382
30,"(70, 167)","(68, 224)",euclidean,2,61.14213562373094,61
31,"(187, 182)","(30, 37)",euclidean,2,294.47518010647246,3403
32,"(131, 98)","(187, 173)",euclidean,2,98.19595949289325,76
