,Start,Goal,h_func,Weight,Lenght,Steps
0,"(88, 123)","(228, 132)",euclidean,1,169.71067811865476,4689
1,"(222, 244)","(149, 112)",euclidean,1,162.2375900532358,3834
2,"(41, 193)","(179, 118)",euclidean,1,193.75230867899765,7517
3,"(244, 131)","(148, 126)",euclidean,1,104.69848480983495,1825
4,"(85, 187)","(141, 203)",euclidean,1,86.4680374315354,1073
5,"(155, 121)","(214, 58)",euclidean,1,120.95331880577395,2677
6,"(141, 55)","(138, 227)",euclidean,1,174.89949493661163,1435
7,"(90, 25)","(195, 24)",euclidean,1,122.32590180780444,2113
8,"(130, 62)","(243, 144)",euclidean,1,171.1248916810279,3219
9,"(172, 102)","(163, 49)",euclidean,1,56.72792206135783,350
10,"(41, 167)","(172, 93)",euclidean,1,203.85281374238585,11276
11,"(133, 5)","(79, 104)",euclidean,1,126.6396103067892,2603
12,"(151, 109)","(73, 64)",euclidean,1,124.74011537017753,4619
13,"(9, 41)","(9, 131)",euclidean,1,91.65685424949237,320
14,"(197, 236)","(12, 218)",euclidean,1,262.94826817189113,13305
15,"(51, 172)","(211, 18)",euclidean,1,255.42135623730985,9869
16,"(26, 239)","(3, 72)",euclidean,1,176.52691193458125,3189
17,"(52, 31)","(171, 247)",euclidean,1,265.87720036002605,6720
18,"(69, 86)","(10, 216)",euclidean,1,160.8822509939086,3519
19,"(70, 61)","(123, 132)",euclidean,1,101.63961030678917,785
20,"(228, 96)","(180, 141)",euclidean,1,71.91168824543136,811
21,"(66, 166)","(47, 45)",euclidean,1,150.04163056034272,4327
22,"(44, 147)","(107, 7)",euclidean,1,170.78174593052012,4770
23,"(9, 173)","(164, 246)",euclidean,1,262.5340546095182,10293
24,"(238, 116)","(250, 60)",euclidean,1,60.970562748477114,669
25,"(166, 41)","(245, 96)",euclidean,1,115.15432893255064,2017
26,"(250, 68)","(2, 224)",euclidean,1,332.8599564173228,18321
27,"(113, 132)","(31, 16)",euclidean,1,171.9238815542513,5334
28,"(52, 37)","(225, 229)",euclidean,1,294.36248173426463,10836
29,"(191, 12)","(133, 52)",euclidean,1,75.74011537017755,856
30,"(195, 181)","(132, 192)",euclidean,1,75.8406204335659,831
31,"(117, 235)","(65, 153)",euclidean,1,133.11269837220803,3462
32,"(4, 202)","(59, 86)",euclidean,1,162.74011537017753,4929
33,"(103, 139)","(232, 61)",euclidean,1,195.3502884254443,7336
