,Start,Goal,h_func,Weight,Lenght,Steps
0,"(88, 123)","(228, 132)",manhattan,1.1,171.36753236814715,1456
1,"(222, 244)","(149, 112)",manhattan,1.1,162.2375900532358,143
2,"(41, 193)","(179, 118)",manhattan,1.1,203.994949366117,4779
3,"(244, 131)","(148, 126)",manhattan,1.1,106.35533905932733,1007
4,"(85, 187)","(141, 203)",manhattan,1.1,86.4680374315354,971
5,"(155, 121)","(214, 58)",manhattan,1.1,120.95331880577395,1188
6,"(141, 55)","(138, 227)",manhattan,1.1,178.21320343559637,484
7,"(90, 25)","(195, 24)",manhattan,1.1,122.32590180780444,841
8,"(130, 62)","(243, 144)",manhattan,1.1,171.1248916810279,562
9,"(172, 102)","(163, 49)",manhattan,1.1,56.727922061357845,60
10,"(41, 167)","(172, 93)",manhattan,1.1,226.13708498984786,7661
11,"(133, 5)","(79, 104)",manhattan,1.1,142.25483399593898,443
12,"(151, 109)","(73, 64)",manhattan,1.1,130.98275605729685,2842
13,"(9, 41)","(9, 131)",manhattan,1.1,92.48528137423855,99
14,"(197, 236)","(12, 218)",manhattan,1.1,277.8183258569802,10484
15,"(51, 172)","(211, 18)",manhattan,1.1,259.17871555019053,838
16,"(26, 239)","(3, 72)",manhattan,1.1,181.0121933088198,291
17,"(52, 31)","(171, 247)",manhattan,1.1,270.019335983757,399
18,"(69, 86)","(10, 216)",manhattan,1.1,164.53910524340102,225
19,"(70, 61)","(123, 132)",manhattan,1.1,102.46803743153535,275
20,"(228, 96)","(180, 141)",manhattan,1.1,77.76955262170046,144
21,"(66, 166)","(47, 45)",manhattan,1.1,155.01219330881986,2823
22,"(44, 147)","(107, 7)",manhattan,1.1,175.953318805774,232
23,"(9, 173)","(164, 246)",manhattan,1.1,263.3624817342644,7778
24,"(238, 116)","(250, 60)",manhattan,1.1,60.97056274847715,57
25,"(166, 41)","(245, 96)",manhattan,1.1,115.15432893255067,136
26,"(250, 68)","(2, 224)",manhattan,1.1,369.6883835420693,7827
27,"(113, 132)","(31, 16)",manhattan,1.1,173.0954544295051,654
28,"(52, 37)","(225, 229)",manhattan,1.1,320.747258045115,1262
29,"(191, 12)","(133, 52)",manhattan,1.1,76.56854249492375,350
30,"(195, 181)","(132, 192)",manhattan,1.1,75.84062043356592,552
31,"(117, 235)","(65, 153)",manhattan,1.1,136.4264068711928,1060
32,"(4, 202)","(59, 86)",manhattan,1.1,163.56854249492375,3397
33,"(103, 139)","(232, 61)",manhattan,1.1,198.96551211459413,4977
34,"(149, 228)","(236, 249)",manhattan,1.1,95.69848480983501,88
35,"(175, 64)","(4, 249)",manhattan,1.1,339.5046173579957,7779
36,"(223, 153)","(101, 161)",manhattan,1.1,144.22539674441612,1198
37,"(60, 104)","(222, 62)",manhattan,1.1,232.45079348883272,7312
38,"(25, 63)","(26, 222)",manhattan,1.1,161.07106781186553,188
39,"(168, 84)","(251, 89)",manhattan,1.1,95.59797974644661,681
40,"(55, 94)","(249, 94)",manhattan,1.1,228.79393923934038,5332
41,"(178, 76)","(230, 47)",manhattan,1.1,80.79898987322332,555
42,"(95, 66)","(158, 226)",manhattan,1.1,189.1665222413705,327
43,"(135, 168)","(253, 77)",manhattan,1.1,155.69343417595155,119
44,"(250, 37)","(184, 72)",manhattan,1.1,121.2253967444161,2227
45,"(148, 17)","(225, 230)",manhattan,1.1,248.99494936611663,245
46,"(29, 166)","(98, 87)",manhattan,1.1,196.0660171779824,3905
47,"(37, 3)","(161, 10)",manhattan,1.1,132.2132034355964,410
48,"(172, 183)","(153, 0)",manhattan,1.1,200.81118318204318,1533
49,"(123, 147)","(66, 8)",manhattan,1.1,168.46803743153538,203
50,"(191, 40)","(249, 92)",manhattan,1.1,113.94112549695424,447
51,"(206, 124)","(128, 155)",manhattan,1.1,99.0832611206852,416
52,"(140, 17)","(88, 68)",manhattan,1.1,98.88225099390849,1818
53,"(221, 1)","(162, 167)",manhattan,1.1,197.99494936611674,611
54,"(115, 93)","(237, 140)",manhattan,1.1,147.12489168102778,433
55,"(218, 235)","(121, 67)",manhattan,1.1,213.1492782986676,548
56,"(125, 191)","(45, 207)",manhattan,1.1,128.2670273047587,2097
57,"(110, 19)","(106, 109)",manhattan,1.1,94.97056274847712,147
58,"(82, 36)","(39, 110)",manhattan,1.1,110.74011537017758,377
59,"(106, 26)","(179, 231)",manhattan,1.1,242.89444430272852,754
60,"(190, 190)","(67, 101)",manhattan,1.1,172.20815280171306,357
61,"(115, 239)","(236, 141)",manhattan,1.1,188.96551211459388,635
62,"(92, 165)","(178, 137)",manhattan,1.1,100.08326112068517,752
63,"(174, 238)","(13, 14)",manhattan,1.1,319.67619023324903,574
64,"(124, 141)","(166, 214)",manhattan,1.1,97.91168824543138,417
65,"(61, 4)","(113, 235)",manhattan,1.1,272.39696961966996,728
66,"(191, 73)","(185, 141)",manhattan,1.1,70.48528137423857,69
67,"(75, 125)","(111, 88)",manhattan,1.1,58.01219330881973,47
68,"(147, 152)","(191, 7)",manhattan,1.1,171.56854249492378,274
69,"(7, 89)","(214, 4)",manhattan,1.1,279.84062043356585,319
70,"(26, 19)","(170, 55)",manhattan,1.1,187.2964645562818,4171
71,"(103, 68)","(56, 158)",manhattan,1.1,110.29646455628156,117
72,"(250, 200)","(189, 45)",manhattan,1.1,181.0954544295049,156
73,"(171, 167)","(250, 50)",manhattan,1.1,150.55129855222066,158
74,"(140, 134)","(60, 224)",manhattan,1.1,143.78174593052023,966
75,"(57, 219)","(201, 197)",manhattan,1.1,195.13708498984784,5172
76,"(175, 119)","(132, 34)",manhattan,1.1,133.69848480983495,928
77,"(176, 0)","(76, 51)",manhattan,1.1,141.22539674441614,2986
78,"(167, 250)","(218, 55)",manhattan,1.1,236.08326112068522,841
79,"(26, 34)","(167, 240)",manhattan,1.1,317.3746750430846,9389
80,"(1, 46)","(13, 182)",manhattan,1.1,145.11269837220806,278
81,"(142, 48)","(51, 167)",manhattan,1.1,177.9655121145939,547
82,"(43, 126)","(82, 185)",manhattan,1.1,78.08326112068521,101
83,"(150, 31)","(101, 97)",manhattan,1.1,97.32590180780448,417
84,"(247, 64)","(150, 101)",manhattan,1.1,151.86500705120537,5047
85,"(78, 23)","(211, 139)",manhattan,1.1,228.9655121145942,1077
86,"(229, 118)","(140, 79)",manhattan,1.1,137.6396103067892,4811
87,"(91, 174)","(193, 103)",manhattan,1.1,158.48023074035527,2285
88,"(212, 81)","(1, 31)",manhattan,1.1,284.6223663640867,6293
89,"(156, 189)","(252, 31)",manhattan,1.1,199.4213562373097,192
90,"(73, 33)","(180, 35)",manhattan,1.1,133.0243866176394,1796
91,"(65, 150)","(180, 131)",manhattan,1.1,163.58073580374355,2320
92,"(71, 94)","(249, 54)",manhattan,1.1,243.76450198781765,5904
93,"(48, 183)","(92, 5)",manhattan,1.1,201.1959594928934,553
94,"(32, 60)","(119, 238)",manhattan,1.1,350.13708498984835,10053
95,"(134, 54)","(215, 178)",manhattan,1.1,183.95331880577413,1571
96,"(213, 162)","(27, 128)",manhattan,1.1,341.5218613006984,23015
97,"(74, 170)","(24, 242)",manhattan,1.1,119.0538238691623,2854
98,"(252, 208)","(4, 113)",manhattan,1.1,429.85995641732325,31905
99,"(140, 216)","(143, 9)",manhattan,1.1,210.7279220613579,208
