,Start,Goal,h_func,Weight,Lenght,Steps
0,"(88, 123)","(228, 132)",manhattan,1,169.71067811865476,2063
1,"(222, 244)","(149, 112)",manhattan,1,162.2375900532358,143
2,"(41, 193)","(179, 118)",manhattan,1,196.09545442950528,5787
3,"(244, 131)","(148, 126)",manhattan,1,104.69848480983495,1266
4,"(85, 187)","(141, 203)",manhattan,1,86.4680374315354,988
5,"(155, 121)","(214, 58)",manhattan,1,120.95331880577395,1103
6,"(141, 55)","(138, 227)",manhattan,1,174.89949493661163,635
7,"(90, 25)","(195, 24)",manhattan,1,122.32590180780444,909
8,"(130, 62)","(243, 144)",manhattan,1,171.1248916810279,742
9,"(172, 102)","(163, 49)",manhattan,1,56.727922061357845,60
10,"(41, 167)","(172, 93)",manhattan,1,203.85281374238585,8421
11,"(133, 5)","(79, 104)",manhattan,1,138.94112549695421,559
12,"(151, 109)","(73, 64)",manhattan,1,127.66904755831209,3053
13,"(9, 41)","(9, 131)",manhattan,1,91.65685424949237,212
14,"(197, 236)","(12, 218)",manhattan,1,263.5340546095181,11846
15,"(51, 172)","(211, 18)",manhattan,1,258.3502884254444,744
16,"(26, 239)","(3, 72)",manhattan,1,178.52691193458122,841
17,"(52, 31)","(171, 247)",manhattan,1,265.87720036002605,492
18,"(69, 86)","(10, 216)",manhattan,1,162.05382386916247,284
19,"(70, 61)","(123, 132)",manhattan,1,101.63961030678917,306
20,"(228, 96)","(180, 141)",manhattan,1,77.76955262170046,151
21,"(66, 166)","(47, 45)",manhattan,1,150.04163056034272,3176
22,"(44, 147)","(107, 7)",manhattan,1,174.2964645562816,285
23,"(9, 173)","(164, 246)",manhattan,1,262.5340546095182,7962
24,"(238, 116)","(250, 60)",manhattan,1,60.97056274847715,57
25,"(166, 41)","(245, 96)",manhattan,1,115.15432893255067,178
26,"(250, 68)","(2, 224)",manhattan,1,350.4335495461299,10220
27,"(113, 132)","(31, 16)",manhattan,1,173.0954544295051,1015
28,"(52, 37)","(225, 229)",manhattan,1,315.7766952966378,1801
29,"(191, 12)","(133, 52)",manhattan,1,75.74011537017756,343
30,"(195, 181)","(132, 192)",manhattan,1,75.8406204335659,567
31,"(117, 235)","(65, 153)",manhattan,1,133.11269837220806,1373
32,"(4, 202)","(59, 86)",manhattan,1,163.56854249492375,3412
33,"(103, 139)","(232, 61)",manhattan,1,198.96551211459413,5498
34,"(149, 228)","(236, 249)",manhattan,1,95.69848480983501,88
35,"(175, 64)","(4, 249)",manhattan,1,318.59292911256404,9876
36,"(223, 153)","(101, 161)",manhattan,1,144.22539674441612,1228
37,"(60, 104)","(222, 62)",manhattan,1,227.48023074035552,7671
38,"(25, 63)","(26, 222)",manhattan,1,161.07106781186548,632
39,"(168, 84)","(251, 89)",manhattan,1,94.76955262170043,782
40,"(55, 94)","(249, 94)",manhattan,1,228.79393923934038,5873
41,"(178, 76)","(230, 47)",manhattan,1,79.97056274847712,572
42,"(95, 66)","(158, 226)",manhattan,1,186.68124086713186,337
43,"(135, 168)","(253, 77)",manhattan,1,155.69343417595155,119
44,"(250, 37)","(184, 72)",manhattan,1,121.2253967444161,2479
45,"(148, 17)","(225, 230)",manhattan,1,248.99494936611663,246
46,"(29, 166)","(98, 87)",manhattan,1,196.0660171779824,3802
47,"(37, 3)","(161, 10)",manhattan,1,127.72792206135784,709
48,"(172, 183)","(153, 0)",manhattan,1,199.982756057297,2276
49,"(123, 147)","(66, 8)",manhattan,1,168.46803743153538,201
50,"(191, 40)","(249, 92)",manhattan,1,113.94112549695424,633
51,"(206, 124)","(128, 155)",manhattan,1,99.0832611206852,1217
52,"(140, 17)","(88, 68)",manhattan,1,98.88225099390849,1818
53,"(221, 1)","(162, 167)",manhattan,1,192.19595949289342,746
54,"(115, 93)","(237, 140)",manhattan,1,146.2964645562816,592
