,Start,Goal,h_func,Weight,Lenght,Steps
0,"(59, 121)","(105, 197)",octile,1,99.15432893255065,1223
1,"(5, 33)","(111, 242)",octile,1,312.76450198781765,14190
2,"(21, 65)","(73, 105)",octile,1,171.5391052434009,4100
3,"(70, 67)","(223, 55)",octile,1,218.72287142747473,8260
4,"(26, 137)","(137, 6)",octile,1,229.94112549695436,3159
5,"(242, 6)","(182, 112)",octile,1,136.12489168102775,1322
6,"(143, 140)","(206, 221)",octile,1,107.09545442950488,704
7,"(32, 238)","(136, 214)",octile,1,2.414213562373095,6
8,"(83, 210)","(79, 8)",octile,1,214.42640687119294,3491
9,"(54, 159)","(115, 208)",octile,1,105.94112549695424,2236
10,"(150, 94)","(128, 35)",octile,1,68.69848480983497,132
11,"(59, 147)","(227, 113)",octile,1,210.55129855222089,7573
12,"(210, 36)","(212, 225)",octile,1,203.62741699796953,4445
13,"(124, 139)","(64, 106)",octile,1,86.39696961966993,1434
14,"(190, 71)","(99, 184)",octile,1,165.9238815542513,2449
15,"(82, 7)","(26, 166)",octile,1,202.69848480983495,6926
16,"(70, 26)","(178, 30)",octile,1,127.05382386916227,1569
17,"(76, 106)","(241, 48)",octile,1,225.5929291125638,9491
18,"(229, 244)","(73, 128)",octile,1,214.5929291125637,5493
19,"(231, 180)","(114, 96)",octile,1,165.99494936611686,2740
20,"(202, 130)","(252, 185)",octile,1,75.71067811865467,164
21,"(36, 255)","(191, 9)",octile,1,318.98989873223394,10002
22,"(73, 99)","(101, 181)",octile,1,96.91168824543134,1435
23,"(76, 126)","(126, 32)",octile,1,127.63961030678922,2634
24,"(248, 39)","(229, 238)",octile,1,206.87005768508874,390
25,"(169, 220)","(232, 192)",octile,1,106.39696961966993,1895
26,"(234, 169)","(212, 65)",octile,1,113.11269837220803,350
27,"(216, 57)","(68, 235)",octile,1,265.9066376115484,9035
28,"(148, 31)","(155, 204)",octile,1,180.8700576850888,1133
29,"(32, 109)","(133, 179)",octile,1,256.9238815542517,8158
30,"(70, 167)","(68, 224)",octile,1,61.14213562373093,175
31,"(187, 182)","(30, 37)",octile,1,283.9482681718911,19424
32,"(131, 98)","(187, 173)",octile,1,98.19595949289322,352
33,"(29, 122)","(247, 86)",octile,1,360.9360748630717,9718
34,"(72, 32)","(82, 241)",octile,1,218.9411254969543,1816
35,"(146, 6)","(8, 223)",octile,1,287.0487732352798,6911
36,"(157, 110)","(236, 236)",octile,1,166.9238815542512,2813
37,"(169, 158)","(96, 0)",octile,1,189.4091629284897,3525
38,"(215, 172)","(229, 3)",octile,1,183.04163056034278,4214
39,"(33, 180)","(101, 73)",octile,1,135.99494936611651,1336
40,"(64, 6)","(49, 98)",octile,1,98.2132034355964,838
41,"(214, 9)","(165, 135)",octile,1,152.39696961966993,4311
42,"(210, 42)","(41, 202)",octile,1,290.2203461105335,17584
43,"(87, 128)","(219, 107)",octile,1,175.65180361560923,6302
44,"(55, 163)","(100, 4)",octile,1,177.63961030678917,695
45,"(200, 200)","(226, 123)",octile,1,109.32590180780444,1037
46,"(176, 3)","(214, 85)",octile,1,97.74011537017756,884
47,"(24, 159)","(117, 78)",octile,1,249.76450198781762,11467
48,"(122, 61)","(165, 224)",octile,1,183.2964645562816,3282
49,"(59, 195)","(178, 235)",octile,1,194.48023074035552,5426
50,"(61, 19)","(8, 100)",octile,1,136.18376618407353,4313
51,"(123, 129)","(243, 57)",octile,1,167.5218613006979,2393
52,"(223, 63)","(43, 200)",octile,1,276.4629867976524,12902
53,"(54, 150)","(88, 209)",octile,1,76.8406204335659,465
54,"(237, 99)","(243, 15)",octile,1,86.48528137423855,255
55,"(147, 223)","(110, 134)",octile,1,104.32590180780441,170
56,"(41, 188)","(170, 9)",octile,1,241.80613254816024,4456
57,"(232, 186)","(236, 64)",octile,1,123.65685424949237,363
58,"(118, 129)","(227, 252)",octile,1,184.79393923934012,3610
59,"(242, 95)","(243, 148)",octile,1,54.242640687119284,121
60,"(97, 15)","(181, 107)",octile,1,167.88225099390846,5820
61,"(63, 110)","(43, 203)",octile,1,101.28427124746186,557
62,"(21, 115)","(25, 235)",octile,1,121.65685424949237,396
63,"(191, 13)","(66, 115)",octile,1,191.75230867899745,6367
64,"(224, 108)","(134, 67)",octile,1,154.5807358037434,6622
65,"(62, 55)","(147, 183)",octile,1,169.0660171779822,2317
66,"(103, 5)","(248, 163)",octile,1,241.49242404917544,5206
67,"(161, 20)","(219, 79)",octile,1,98.84062043356589,1764
68,"(133, 111)","(22, 154)",octile,1,228.55129855222089,15987
69,"(239, 111)","(211, 3)",octile,1,119.5979797464466,303
70,"(184, 145)","(55, 175)",octile,1,156.74011537017768,4843
71,"(226, 3)","(62, 246)",octile,1,337.53405460951825,16562
72,"(151, 110)","(101, 118)",octile,1,59.21320343559641,381
73,"(222, 156)","(8, 142)",octile,1,332.291413922399,31201
74,"(130, 72)","(163, 232)",octile,1,173.66904755831217,2383
75,"(64, 129)","(45, 254)",octile,1,132.87005768508877,620
76,"(92, 209)","(220, 147)",octile,1,186.36753236814724,4375
77,"(8, 199)","(71, 168)",octile,1,99.88225099390847,2490
78,"(183, 112)","(210, 48)",octile,1,81.8700576850888,1267
79,"(61, 55)","(126, 43)",octile,1,135.46803743153538,4960
80,"(89, 215)","(211, 101)",octile,1,192.06601717798245,1781
81,"(136, 123)","(211, 92)",octile,1,102.12489168102773,1162
82,"(133, 38)","(110, 120)",octile,1,91.52691193458112,388
83,"(82, 213)","(182, 83)",octile,1,197.19595949289334,5873
84,"(174, 194)","(231, 206)",octile,1,115.91168824543132,2675
85,"(6, 192)","(248, 13)",octile,1,373.3746750430845,16670
86,"(139, 82)","(178, 42)",octile,1,89.42640687119277,1434
87,"(177, 219)","(11, 51)",octile,1,342.67619023324926,27140
88,"(142, 83)","(91, 6)",octile,1,120.62741699796948,2057
89,"(248, 241)","(158, 9)",octile,1,0.0,1
90,"(170, 144)","(51, 166)",octile,1,139.3259018078045,2938
91,"(144, 193)","(35, 29)",octile,1,253.00714267493674,14843
92,"(224, 138)","(176, 100)",octile,1,66.32590180780446,193
93,"(131, 236)","(227, 15)",octile,1,262.52186130069805,7468
94,"(16, 196)","(250, 132)",octile,1,294.59292911256364,7571
95,"(140, 60)","(62, 233)",octile,1,205.3086578651015,3585
96,"(40, 106)","(178, 54)",octile,1,209.58073580374378,8923
97,"(215, 34)","(108, 246)",octile,1,256.3208511739217,5060
98,"(17, 51)","(189, 194)",octile,1,316.161471607488,10092
99,"(96, 42)","(27, 101)",octile,1,182.76955262170043,8767
